date,total_bitcoins
3/15/2018,16919581.25
3/18/2018,16926031.25
3/22/2018,16932506.25
3/25/2018,16938981.25
3/29/2018,16945445.31
4/1/2018,16951918.75
4/5/2018,16958393.75
4/8/2018,16964868.75
4/11/2018,16971331.25
4/15/2018,16977781.25
4/18/2018,16984243.75
4/21/2018,16990718.75
4/24/2018,16997176.56
4/28/2018,17003631.25
5/2/2018,17010106.25
5/5/2018,17016581.25
5/9/2018,17023056.25
5/12/2018,17029581.25
5/16/2018,17036031.25
5/19/2018,17042531.25
5/23/2018,17048993.75
5/26/2018,17055443.75
5/29/2018,17061918.75
6/1/2018,17068381.25
6/4/2018,17074843.75
6/8/2018,17081293.75
6/11/2018,17087768.75
6/15/2018,17094253.13
6/18/2018,17100731.25
6/21/2018,17107181.25
6/25/2018,17113706.25
6/28/2018,17120156.25
7/2/2018,17126643.75
7/6/2018,17133118.75
7/9/2018,17139606.25
7/13/2018,17146107.81
7/17/2018,17152581.25
7/20/2018,17159081.25
7/23/2018,17165556.25
7/26/2018,17172018.75
7/29/2018,17178518.75
8/2/2018,17184959.9
8/5/2018,17191406.25
8/8/2018,17197881.25
8/12/2018,17204343.75
8/15/2018,17210793.75
8/18/2018,17217243.75
8/22/2018,17223746.35
8/25/2018,17230218.75
8/28/2018,17236693.75
9/1/2018,17243131.25
9/4/2018,17249568.75
9/8/2018,17256018.75
9/12/2018,17262481.25
9/15/2018,17268943.75
9/19/2018,17275406.25
9/22/2018,17281906.25
9/25/2018,17288381.25
9/29/2018,17294856.25
10/2/2018,17301306.25
10/6/2018,17307781.25
10/10/2018,17314256.25
10/14/2018,17320731.25
10/17/2018,17327193.75
10/21/2018,17333668.75
10/25/2018,17340106.25
10/28/2018,17346568.75
11/1/2018,17353018.75
11/4/2018,17359493.75
11/8/2018,17365956.25
11/12/2018,17372419.27
11/16/2018,17378881.25
11/20/2018,17385344.79
11/24/2018,17391818.75
11/28/2018,17398268.75
12/3/2018,17404731.25
12/7/2018,17411195.83
12/11/2018,17417656.25
12/15/2018,17424143.75
12/19/2018,17430581.25
12/22/2018,17437031.25
12/26/2018,17443518.75
12/29/2018,17449968.75
1/1/2019,17456443.75
1/4/2019,17462943.75
1/8/2019,17469488.54
1/11/2019,17475981.25
1/15/2019,17482443.75
1/19/2019,17488906.25
1/22/2019,17495393.75
1/26/2019,17501868.75
1/29/2019,17508368.75
2/2/2019,17514818.75
2/5/2019,17521293.75
2/9/2019,17527743.75
2/12/2019,17534218.75
2/16/2019,17540693.75
2/19/2019,17547168.75
2/23/2019,17553631.25
2/27/2019,17560093.75
3/2/2019,17566554.69
3/6/2019,17573006.25
3/9/2019,17579518.75
3/13/2019,17585968.75
3/16/2019,17592468.75
3/20/2019,17598981.25
3/23/2019,17605432.29
3/27/2019,17611906.25
3/30/2019,17618381.25
4/3/2019,17624833.85
4/6/2019,17631331.25
4/10/2019,17637781.25
4/14/2019,17644218.75
4/17/2019,17650685.94
4/21/2019,17657181.25
4/25/2019,17663681.25
4/28/2019,17670118.75
5/1/2019,17676618.75
5/5/2019,17683118.75
5/8/2019,17689568.75
5/12/2019,17696043.75
5/15/2019,17702556.25
5/19/2019,17709006.25
5/22/2019,17715443.75
5/25/2019,17721893.75
5/29/2019,17728406.25
6/1/2019,17734856.25
6/5/2019,17741318.75
6/8/2019,17747806.25
6/12/2019,17754268.75
6/15/2019,17760718.75
6/19/2019,17767168.75
6/22/2019,17773606.25
6/25/2019,17780081.25
6/29/2019,17786531.25
7/2/2019,17792981.25
7/5/2019,17799431.25
7/8/2019,17805906.25
7/12/2019,17812381.25
7/15/2019,17818831.25
7/19/2019,17825293.75
7/22/2019,17831743.75
7/26/2019,17838218.75
7/29/2019,17844668.75
8/1/2019,17851133.85
8/4/2019,17857606.25
8/8/2019,17864093.75
8/11/2019,17870564.06
8/15/2019,17877056.25
8/18/2019,17883543.75
8/22/2019,17890031.25
8/25/2019,17896493.75
8/29/2019,17902958.85
